Financial Instrument,Description,Exchange,Last,Change,Change %,
WKHS,Stock (NASDAQ.SCM),SMART,27.91,1.1400000000000006,0.04258498319013824,
NIO,Stock (NYSE),SMART,21.81,0.33999999999999986,0.01583605030274801,
AAL,Stock (NASDAQ.NMS),SMART,13.14,-0.0600000000000005,-0.0045454545454545825,
DKNG,Stock (NASDAQ.NMS),SMART,50.95,2.1300000000000026,0.04362965997541996,
AAPL,Stock (NASDAQ.NMS),SMART,120.33,3.3599999999999994,0.028725314183123872,
NVDA,Stock (NASDAQ.NMS),SMART,558.85,8.340000000000032,0.01514958856333224,
PLUG,Stock (NASDAQ.SCM),SMART,19.05,0.620000000000001,0.0336408030385242,
UAL,Stock (NASDAQ.NMS),SMART,36.78,-0.3399999999999963,-0.00915948275862059,
MSFT,Stock (NASDAQ.NMS),SMART,219.45,3.640000000000015,0.016866688290626083,
PYPL,Stock (NASDAQ.NMS),SMART,200.53,3.259999999999991,0.016525574086277642,
SQ,Stock (NYSE),SMART,191.01,3.7299999999999898,0.019916702263989693,
FB,Stock (NASDAQ.NMS),SMART,269.89,5.439999999999998,0.020570996407638487,
SPCE,Stock (NYSE),SMART,21.57,0.16999999999999815,0.007943925233644773,
SRNE,Stock (NASDAQ.SCM),SMART,11.28,0.02990000000000137,0.0026577777777778994,
PPSI,Stock (NASDAQ.SCM) ,SMART,4.40,-0.08000000000000007,-0.01785714285714287,
DPHC,Stock (NASDAQ.SCM),SMART,25.17,1.9700000000000024,0.08491379310344838,
LEVI,Stock (NYSE),SMART,15.75,0.5399999999999991,0.0355029585798816,
XPEV,Stock (NYSE),SMART,20.45,0.4499999999999993,0.022499999999999964,
BAL,Stock (ARCA),SMART,C39.90,,,
GAN,Stock (NASDAQ.SCM),SMART,18.85,0.6099999999999994,0.033442982456140316,
NKLA,Stock (NASDAQ.NMS),SMART,24.73,0.07000000000000028,0.002838605028386062,
AMD,Stock (NASDAQ.NMS),SMART,83.70,0.5999999999999943,0.007220216606498126,
ZM,Stock (NASDAQ.NMS),SMART,500.01,7.599999999999966,0.015434292561077081,
